 S11, S22, S33, S12, S23, S31, wp
  2.060324E+002,  3.239381E+002,  0.000000E+000,  7.647008E+000, -2.953692E-001, -1.745337E+000,  5.007122E-001
  2.041860E+002,  3.211455E+002,  0.000000E+000,  2.307973E+001, -1.652134E-001, -1.498848E+000,  5.003858E-001
  2.000104E+002,  3.135793E+002,  0.000000E+000,  3.675337E+001, -4.648022E-002, -8.957875E-001,  5.004643E-001
  1.942338E+002,  3.030008E+002,  0.000000E+000,  5.010921E+001, -2.815715E-002, -4.844972E-001,  5.004154E-001
  1.882061E+002,  2.922861E+002,  0.000000E+000,  6.245032E+001, -3.889458E-002, -2.260015E-001,  5.002022E-001
  1.823120E+002,  2.818247E+002,  0.000000E+000,  7.370639E+001, -8.008609E-002,  8.151673E-003,  5.003421E-001
  1.767964E+002,  2.716658E+002,  0.000000E+000,  8.372720E+001, -1.462826E-001,  2.053540E-001,  5.001035E-001
  1.714916E+002,  2.617228E+002,  0.000000E+000,  9.262887E+001, -2.070264E-001,  3.237382E-001,  5.004030E-001
  1.659645E+002,  2.516027E+002,  0.000000E+000,  1.006327E+002, -3.212441E-001,  4.202366E-001,  5.003667E-001
  1.601831E+002,  2.411943E+002,  0.000000E+000,  1.076147E+002, -5.143064E-001,  5.324934E-001,  5.005213E-001
  7.527368E+001, -2.006827E+002,  0.000000E+000, -9.173203E+001,  5.839861E-001, -1.089692E-001,  5.007561E-001
  7.905223E+001, -2.078737E+002,  0.000000E+000, -8.722897E+001,  5.036432E-001,  1.165942E-001,  5.007651E-001
  8.212110E+001, -2.151962E+002,  0.000000E+000, -8.206043E+001,  4.043102E-001,  3.041339E-001,  5.008516E-001
  8.400610E+001, -2.232611E+002,  0.000000E+000, -7.561820E+001,  3.111997E-001,  4.268495E-001,  5.005349E-001
  8.437842E+001, -2.325701E+002,  0.000000E+000, -6.747914E+001,  2.588128E-001,  3.709925E-001,  5.009243E-001
  8.363606E+001, -2.426896E+002,  0.000000E+000, -5.783334E+001,  2.603612E-001,  1.915292E-001,  5.005005E-001
  8.232295E+001, -2.531995E+002,  0.000000E+000, -4.660690E+001,  3.604693E-001, -7.679615E-002,  5.005455E-001
  8.147169E+001, -2.629601E+002,  0.000000E+000, -3.364889E+001,  5.549139E-001, -4.019843E-001,  5.009888E-001
  8.221480E+001, -2.702958E+002,  0.000000E+000, -1.907476E+001,  7.103555E-001, -5.865295E-001,  5.000183E-001
  8.317368E+001, -2.748363E+002,  0.000000E+000, -4.605337E+000,  8.379201E-001, -4.436863E-001,  5.007734E-001
  8.358780E+001, -2.742112E+002,  0.000000E+000,  8.308789E+000,  7.265546E-001, -1.724586E-001,  5.003330E-001
  8.373489E+001, -2.696028E+002,  0.000000E+000,  2.200004E+001,  6.132695E-001,  7.272278E-002,  5.003072E-001
  8.407303E+001, -2.624896E+002,  0.000000E+000,  3.516907E+001,  7.170336E-001,  4.856654E-001,  5.000700E-001
  8.526315E+001, -2.537564E+002,  0.000000E+000,  4.690557E+001,  8.110867E-001,  8.112647E-001,  5.002543E-001
  8.640420E+001, -2.446952E+002,  0.000000E+000,  5.692280E+001,  7.424457E-001,  1.001619E+000,  5.004044E-001
  8.665231E+001, -2.357034E+002,  0.000000E+000,  6.578216E+001,  6.476868E-001,  1.054799E+000,  5.009412E-001
  8.558245E+001, -2.270328E+002,  0.000000E+000,  7.334187E+001,  5.014032E-001,  1.003555E+000,  5.005277E-001
  8.302935E+001, -2.185329E+002,  0.000000E+000,  7.975803E+001,  3.465282E-001,  8.956426E-001,  5.008123E-001
  7.941479E+001, -2.100267E+002,  0.000000E+000,  8.534819E+001,  2.020779E-001,  7.737339E-001,  5.002310E-001
  7.525636E+001, -2.012339E+002,  0.000000E+000,  9.064299E+001,  7.949307E-002,  6.911820E-001,  5.000889E-001
  8.404857E+001, -1.848319E+002,  0.000000E+000, -9.486842E+001,  4.994600E-001, -9.400703E-002,  5.000969E-001
  8.455258E+001, -1.837687E+002,  0.000000E+000,  9.437235E+001,  2.887376E-002,  7.572591E-001,  5.003102E-001
  9.720590E+001, -1.624324E+002,  0.000000E+000, -9.852832E+001,  3.059471E-001, -2.436062E-003,  5.000165E-001
  9.744316E+001, -1.605647E+002,  0.000000E+000,  9.856855E+001,  9.617350E-003,  8.546454E-001,  5.007850E-001
  1.107353E+002, -1.372682E+002,  0.000000E+000, -1.026902E+002,  9.055809E-002,  1.094637E-001,  5.007541E-001
  1.107735E+002, -1.350306E+002,  0.000000E+000,  1.031081E+002,  2.091928E-002,  9.573665E-001,  5.004012E-001
  1.245338E+002, -1.100300E+002,  0.000000E+000, -1.071015E+002, -1.268193E-001,  3.074171E-001,  5.004494E-001
  1.244236E+002, -1.077524E+002,  0.000000E+000,  1.078246E+002,  1.001136E-001,  9.741566E-001,  5.003741E-001
  1.384994E+002, -8.145133E+001,  0.000000E+000, -1.115488E+002, -3.116756E-001,  5.565734E-001,  5.003038E-001
  1.381714E+002, -7.925636E+001,  0.000000E+000,  1.125656E+002,  2.308410E-001,  8.948427E-001,  5.004223E-001
  1.523555E+002, -5.184019E+001,  0.000000E+000, -1.158723E+002, -5.768739E-001,  6.282356E-001,  5.000322E-001
